answer_id,question_url,author_id,author_url,answer_url,answer_text,voteup_count,comment_count
480192237,https://www.zhihu.com/api/v4/questions/282469494,066b0fbd27cb5516afb094e4b3c0e1e0,https://www.zhihu.com/api/v4/people/066b0fbd27cb5516afb094e4b3c0e1e0,https://www.zhihu.com/api/v4/answers/480192237,�����Ұֵ���Ƭ�ʣ�����զ�����ˣ������Ұ�ȥ��7���ˣ�,6185,377
answer_id,question_url,author_id,author_url,answer_url,answer_text,voteup_count,comment_count
answer_id,question_url,author_id,author_url,answer_url,answer_text,voteup_count,comment_count
480192237,https://www.zhihu.com/api/v4/questions/282469494,066b0fbd27cb5516afb094e4b3c0e1e0,https://www.zhihu.com/api/v4/people/066b0fbd27cb5516afb094e4b3c0e1e0,https://www.zhihu.com/api/v4/answers/480192237,抱着我爸的照片问，“你咋回来了？”（我爸去世7年了）,6185,377
answer_id,question_url,author_id,author_url,answer_url,answer_text,voteup_count,comment_count
444627949,https://www.zhihu.com/api/v4/questions/282469494,b1ca518408df1d48fc3548c5ca2b023d,https://www.zhihu.com/api/v4/people/b1ca518408df1d48fc3548c5ca2b023d,https://www.zhihu.com/api/v4/answers/444627949,"山东的，中考完当天晚上一群人飙二锅头，也不知道咋玩的，喝完把两个同学送回家，然后直接去火车站坐上了去北京的火车………？？？？
到站清车的时候被叫醒…
我是谁…
我在哪…！
一脸懵逼
两脸懵逼
懵逼


补……………….…….……
当时完全不知道咋买的票，因该是40几块钱（聚餐凑剩下的）
下车惊惊慌慌懵懵逼逼到里面超市给我妈打了个电话，说在同学家里别找不着我了，然而我妈只是哦了一声…
然后直接回去买票，火车站等了两个小时的火车 又坐上回山东的车……进站安检流程一点不会…逐渐醒酒一路上脑瓜子懵懵的…
因为那几天家里比较忙，也没人发现，所以这个秘密现在都没说出去（怕被笑死）
到家正好赶上我奶家晚饭，含着泪吃了两大碗（离开家这一天多一口没吃，就在北京站买了瓶水），那几天精神一直不正常，别人都以为考试压力大的正常反应…
这么多赞，好开森…
加一排：现在工作了，产品经理一枚，前两天去北京出差，回来的时候晚买了几个小时的票，特意从北京南站坐地铁到北京站又瞅了瞅，虽然和印象中的北京站不大一样了，但是总有一种熟悉又说不出来的感觉…
（ '▿ ' ）",6032,160
answer_id,question_url,author_id,author_url,answer_url,answer_text,voteup_count,comment_count
489026518,https://www.zhihu.com/api/v4/questions/282469494,0289d2d14246198aecd5dad1c1e93f72,https://www.zhihu.com/api/v4/people/0289d2d14246198aecd5dad1c1e93f72,https://www.zhihu.com/api/v4/answers/489026518,"首先，这个答案是无意中写下的，没有太多考量，伤害了维族兄弟们的感情，给大家赔个不是。喝多了的酒鬼的话，做不得数，维族兄弟们对不起。




大学毕业那阵子，考研差了五分没考上心里很气，一个人干了一瓶700毫升装的芝华士，就开始了我的表演。。。
邻近毕业那会，喝酒喝多了的都贼多，我朋友扶着我回宿舍，路上遇到一群新疆的同学也喝多了。我上去就拉住新疆的同学：党的政策亚克西，你们为什么要闹分裂（脑补新疆口音）那哥们儿也喝多了：闹分裂的是维吾尔！我们是哈萨克！哈萨克汉族兄弟一家亲！我：哈萨克兄弟亚克西，我们接着去喝酒，来吃烧烤喜滋滋，酒肉穿肠过，安拉留心中！












最后我们俩勾肩搭背要继续出去喝，被两个人的同学拉下来送回宿舍了。。。




这可能是我这辈子做的最。。的一件事，不过还挺怀念那个新疆同学，不知道他毕业去哪里了。。。",5001,227
answer_id,question_url,author_id,author_url,answer_url,answer_text,voteup_count,comment_count
500808181,https://www.zhihu.com/api/v4/questions/282469494,998880ffaf77413d004249aa4c43627c,https://www.zhihu.com/api/v4/people/0,https://www.zhihu.com/api/v4/answers/500808181,"搂着狗睡觉算吗……


五年前，路过浙江宁波，给当地的魔兽玩友打了个电话，便拎着点心和特产去看望他。朋友的老父亲是土生土长的宁波人，一看来了个北方小胖子，特别高兴，就拉着我吃菜喝酒。


什么酒呢？


他家自己酿的白酒。


起初老爷子还嘱咐我，这酒后劲大，你喝两杯就得了，我点头答应。谁知……真是劲大，喝了一杯半便一头栽倒在酒桌上。


再次幽幽醒转过来，已是第二天早上。朋友的母亲见我醒了，笑得不行。我也是纳闷，一低头居然发现他家的土狗居然被我搂在怀里，正满脸哀怨地看着我。


后经朋友说明，我才知道发生什么。


当天醉倒在酒桌上后，朋友和他弟弟便把我抬到沙发床上，盖好一个毛巾被让我酣睡。过了一会，他家土狗过来闻闻我是谁，又跳到沙发床上卧着。此时我在醉酒状态下一个迅雷不及掩耳的拥抱，便把狗搂入怀中。那狗也是配合，一声嘤咛，便和我睡在一起。据说……据说我还亲了狗几口……


最后临走的时候，土狗居然咬着我的裤腿不让走……


还是个公狗……",5446,220
answer_id,question_url,author_id,author_url,answer_url,answer_text,voteup_count,comment_count
501867143,https://www.zhihu.com/api/v4/questions/282469494,0,https://www.zhihu.com/api/v4/people/0,https://www.zhihu.com/api/v4/answers/501867143,"第一次去女朋友家，她爹好喝两口但是酒量不行，我就陪他喝。然后一来二去把我俩都喝高了，他爹大舌头啷叽的说：老弟啊，跟你喝酒真痛快，我让你嫂子再整两个凉菜，咱哥俩好好唠唠。我也是喝的舌头都打结了。居然也顺嘴说到：大哥，不用了不用了，我真喝不了了…
我女朋友他妈笑的不行了，我女朋友脸黑了一晚上。头一次去她家就醉的在她家过了一夜…还是我睡床，女朋友睡沙发…",13445,409
answer_id,question_url,author_id,author_url,answer_url,answer_text,voteup_count,comment_count
445217443,https://www.zhihu.com/api/v4/questions/282469494,d187f0f00d57c6d7bbac81d817d5b1b4,https://www.zhihu.com/api/v4/people/d187f0f00d57c6d7bbac81d817d5b1b4,https://www.zhihu.com/api/v4/answers/445217443,吐到电风扇里算不算？然后电风扇又还给我了……,8462,258
answer_id,question_url,author_id,author_url,answer_url,answer_text,voteup_count,comment_count
445443175,https://www.zhihu.com/api/v4/questions/282469494,349b009bbdc8ca6d7867c4305229da95,https://www.zhihu.com/api/v4/people/349b009bbdc8ca6d7867c4305229da95,https://www.zhihu.com/api/v4/answers/445443175,"大学时，我们系三个学生，喝完酒后发酒疯把校门口俩石狮子推翻了。
要不是监控拍下了，校领导死都不信。
石狮子啊......
第一次知道酒还有力量+80％的作用。",9941,429
answer_id,question_url,author_id,author_url,answer_url,answer_text,voteup_count,comment_count
487030341,https://www.zhihu.com/api/v4/questions/282469494,c5f950b210de53945cd13f4b28e58599,https://www.zhihu.com/api/v4/people/c5f950b210de53945cd13f4b28e58599,https://www.zhihu.com/api/v4/answers/487030341,网上看到的一个年轻人喝多了在家庭群里，和家里人的对话(尤其是他爸)哈哈哈哈哈哈,14678,882
answer_id,question_url,author_id,author_url,answer_url,answer_text,voteup_count,comment_count
491307295,https://www.zhihu.com/api/v4/questions/282469494,7cdaf8c176c7588c3b4613d36e148226,https://www.zhihu.com/api/v4/people/7cdaf8c176c7588c3b4613d36e148226,https://www.zhihu.com/api/v4/answers/491307295,"一哥门被领导提拨，请领导吃了便餐。

酒过三巡后，这厮醉得一塌糊涂，表完忠心好好干，忽然扑嗵一下跪在地上，叩首领导，泪流满面""天地君亲师，我郭某农村人，不懂表达，上拜父母，下拜老师!""

一向八面玲珑的领导居然有些动容，以后的岁月视为己出!

这是我见过酒后最过分的马屁!",4082,106
answer_id,question_url,author_id,author_url,answer_url,answer_text,voteup_count,comment_count
